Base,Tópico,Modelo,Weighted,Weighted F1 Avg,Weighted F1 Max,Weighted F1 Min,Weighted F1 Top-k Avg,Precision Avg,Recall Avg,F1 Avg,Precision Max,Recall Max,F1 Max,Precision Min,Recall Min,F1 Min,Precision Top-k Avg,Recall Top-k Avg,F1 Top-k Avg
Atos Golpistas,2,Llama 3,0.8391060806974936,0.49707543960033057,0.5549722052307915,0.42240184413908205,0.5401096748761864,0.5702645185321326,0.48205598354484225,0.5222851931144875,0.6201795339584351,0.5524795651435852,0.5831182599067688,0.517270565032959,0.38399243354797363,0.44382444024086,0.606800964474678,0.5380672603845597,0.5675019592046737
Atos Golpistas,3,Llama 3,0.7816985406980814,0.5830391260767466,0.6280645555162327,0.4971172047620195,0.6227344327013293,0.624112568714822,0.6241977756337602,0.6238985128180925,0.6691887974739075,0.6939127445220947,0.67207932472229,0.5486944317817688,0.5041882395744324,0.5319551825523376,0.6568958461284637,0.6857886463403702,0.6663756668567657
Atos Golpistas,14,Llama 3,0.9750061145478516,0.5571778260023386,0.5930194579580639,0.49775032873495256,0.5867725891493117,0.5859115881078384,0.5397225215154535,0.5613872002152835,0.630997359752655,0.5996052026748657,0.5974996089935303,0.529426097869873,0.4663444757461548,0.501510739326477,0.6125052899122239,0.5864416569471359,0.5912055462598801
Atos Golpistas,15,Llama 3,0.9181448756485612,0.6052516188471255,0.6532536407132356,0.5590209803312166,0.6436357129232001,0.6407346396432446,0.6019326443272519,0.6204886720704206,0.6928863525390625,0.6749523282051086,0.6696991324424744,0.5940442085266113,0.5353840589523315,0.5730941891670227,0.6716604202985763,0.652879998087883,0.6598390758037567
Atos Golpistas,9,Llama 3,0.9715888458368996,0.6144430165165095,0.6470288492924866,0.5892094906555383,0.6337876974736466,0.6095846652200347,0.630407590615122,0.6197251485366571,0.653638482093811,0.6538733243942261,0.6525911092758179,0.5713887214660645,0.590552031993866,0.5942746996879578,0.6373228132724762,0.6479381918907166,0.6392361283302307
Atos Golpistas,17,Llama 3,0.9306823816607545,0.5689212443140275,0.6018378970864872,0.5370027960354846,0.5931226846090866,0.6030318850503307,0.5606679508626211,0.5810033753826029,0.6380274891853333,0.5992974042892456,0.6146190762519836,0.5642051696777344,0.52753084897995,0.5484070777893066,0.6281770944595337,0.592342758178711,0.6057187795639039
Atos Golpistas,13,Llama 3,0.9602456570808022,0.6186787188334371,0.6544454884946997,0.5519077041962666,0.6422123430653484,0.6233001354397559,0.629226380464982,0.6261463296048495,0.6529815196990967,0.6719805002212524,0.6623448133468628,0.5586938261985779,0.5584448575973511,0.5585693717002869,0.6427473366260529,0.6625366836786271,0.6499640107154846
Atos Golpistas,18,Llama 3,0.9430647442304304,0.5672401183849294,0.6072245925517047,0.4836716533396887,0.5953238600560257,0.596627314590119,0.5590048786756154,0.5770972726312844,0.6442338228225708,0.599786102771759,0.6177765727043152,0.4344773292541504,0.5222213268280029,0.4920766055583954,0.6261187046766281,0.5903812974691391,0.6056690365076065
Atos Golpistas,8,Llama 3,0.9275917019057873,0.5428303175978824,0.6193423344570936,0.469195171603863,0.6073783825304989,0.5720639691865148,0.5425242903557691,0.5548837745238927,0.6228864192962646,0.650505006313324,0.6330947279930115,0.5196222066879272,0.4397100806236267,0.4796135723590851,0.6072718620300293,0.6403378844261169,0.6208651185035705
Atos Golpistas,11,Llama 3,0.9386766805899258,0.5864916128234271,0.6299621949586816,0.5381808335792129,0.6193261657270603,0.6321399122602326,0.5673974957395707,0.5974835145448331,0.6978961229324341,0.6335509419441223,0.6417688131332397,0.5698723793029785,0.5024392008781433,0.5482673048973083,0.682179382443428,0.6150396704673767,0.6309334456920623
Atos Golpistas,12,Llama 3,0.9296239481079548,0.47400800276503957,0.5398116692921199,0.44755928933529426,0.5274929991601289,0.5000800500790625,0.46965212534348516,0.48423149296810536,0.5980766415596008,0.5243070721626282,0.5514544248580933,0.43772000074386597,0.43919962644577026,0.45721232891082764,0.5729315161705018,0.5115121334791184,0.5388700634241104
Atos Golpistas,6,Llama 3,0.9445116692953572,0.6085057343207841,0.6480576019268548,0.569360207894505,0.6373587867640114,0.6233285224559356,0.6145731482882889,0.6188066995569638,0.6616395115852356,0.6741714477539062,0.6590281128883362,0.5883086323738098,0.5667791366577148,0.5789985060691833,0.6481386929750442,0.6564195662736892,0.6481481850147247
Atos Golpistas,10,Llama 3,0.9467142960555774,0.5855082824188961,0.6481399371929124,0.5143990024572092,0.6375159602098363,0.6294644270693103,0.5664025267125458,0.5950201019164054,0.6888129711151123,0.6570252776145935,0.6586692333221436,0.5824329257011414,0.4599139988422394,0.5227556228637695,0.6755820572376251,0.6354661583900452,0.6478726655244827
Atos Golpistas,19,Llama 3,0.9526162222698044,0.5097820282813297,0.5621903898956326,0.4598566676726074,0.5437519141534695,0.5322167181542942,0.5030755946388492,0.5171331448794959,0.5893698334693909,0.5524204969406128,0.5702972412109375,0.4321325719356537,0.47230228781700134,0.466487854719162,0.5745193988084794,0.53378766477108,0.551592880487442
Atos Golpistas,7,Llama 3,0.6691657630577544,0.5231733084648954,0.5531531281055062,0.48314434801256445,0.5460441717212423,0.6046598722969276,0.558931989600693,0.5808198344880257,0.6421627402305603,0.5998803377151489,0.6141030192375183,0.5132167935371399,0.5031890869140625,0.5363802313804626,0.6308900952339173,0.5901039898395538,0.6062107533216476
Atos Golpistas,5,Llama 3,0.9337886290344677,0.5652000237654285,0.6354783344646528,0.5163682972826753,0.6122477284686396,0.5821576451971417,0.5715079892249334,0.5766543462162926,0.6513174176216125,0.645423173904419,0.6483569145202637,0.531524658203125,0.5189393758773804,0.5268329977989197,0.6289942264556885,0.6265147179365158,0.6246555179357529
Atos Golpistas,16,Llama 3,0.9578011243542363,0.6256412304379145,0.6818582744939862,0.5371980933353679,0.6714021912805792,0.6887083093930421,0.5890031430221048,0.6336631927191707,0.7777698636054993,0.6686809659004211,0.6906010508537292,0.6125404238700867,0.47763505578041077,0.5440860390663147,0.7609538614749909,0.6586617648601532,0.6800108999013901
Atos Golpistas,4,Llama 3.1,0.6186842136727951,0.5076793425078947,0.5437934820770036,0.47101373471252,0.5319587898792916,0.5943244921494715,0.5537415046869598,0.5732569160175126,0.6427547931671143,0.5935708284378052,0.614035964012146,0.5025498270988464,0.5109083652496338,0.5318551659584045,0.6220905810594559,0.5832712471485137,0.6006725698709487
